root,serial,level,part_of_speech,addition,explaination_e,explaination_c
004311,19-004311-00-1,9,v.,postpones-postponing-postponed-postponed,-,推迟，延缓；把……放在次要地位；把……放在后面
000400,19-000400-00-1,9,adj.,more athletic-most athletic,-,运动的，体育的；强壮的，健壮的；运动员用的；（在体育、比赛或身体锻炼等方面）行动敏捷的，活跃的
007494,19-007494-00-1,9,adj.,more stationary-most stationary,-,不动的，静止的；不变的，稳定的；（行星）经度无明显移动的；定居的
007494,19-007494-00-2,9,n.,stationaries,-,不动的人或物
001889,19-001889-00-1,9,n.,embassies,-,大使馆工作人员；大使馆；（外交）特别使团
000632,19-000632-00-1,9,v.,boosts-boosting-boosted-boosted,-,使增长，推动；<美，非正式>偷窃；宣扬，推广
000632,19-000632-00-2,9,n.,boosts,-,推动，促进；广告，宣扬
000632,19-000632-00-3,9,-,-,-,【名】 （Boost）（英）布斯特，（德）博斯特（人名）
002109,19-002109-00-1,9,adj.,-,-,异乎寻常的，令人惊奇的；非凡的，卓越的；特别的，临时的；特大（或多）的；特派的，特命的
002109,19-002109-00-2,9,n.,,-,（公司正常业务活动之外的）非常账目，特支款项
007853,19-007853-00-1,9,n.,antiquities,-,古代（尤指古希腊和古罗马时期）；年代久远；文物，古物；古代，古时（尤指古埃及、古希腊、古罗马时期）
000839,19-000839-00-1,9,n.,cathedrals,-,大教堂，（主教控制的）教区总教堂
005594,19-005594-00-1,9,v.,strips-stripping-stripped或stript-stripped或stript,-,除去，撕掉（外皮或表层）；夺去，剥夺（地位，权力，财产）；脱衣服，脱光……的衣服；表演脱衣舞；为（奶牛）收奶；拆卸，拆开（机器、车辆或引擎 ）；<美>拆散（汽车等）卖零件；使空无一物，搬光（家具、设备等）；（使）（螺丝或齿轮）受损；（为利润）出售（公司资产）；分离（债券的）息票使二者分开出售；（子弹出膛时因膛面磨损而）不旋转
005594,19-005594-00-2,9,n.,strips,-,（纸、金属、织物等）条，带；带状地带；<英>（比赛时穿的）队服，球衣；商业街；脱衣舞；连环漫画；<英>（定时播出的）广播节目；飞机跑道
005594,19-005594-00-3,9,-,-,-,【名】 （Strip）（俄、美）史地鄱（人名）
008030,19-008030-00-1,9,adj.,more militant-most militant,-,好斗的，激进的
008030,19-008030-00-2,9,n.,militants,-,激进分子
003966,19-003966-00-1,9,adj.,more orthodox-most orthodox,-,（观念、方法或行为）传统的，正统的；（人）正统派的，循规蹈矩的；东正教的，正教的（Orthodox）；（物）普通的，正常的
003966,19-003966-00-2,9,n.,orthodox或orthodoxes,-,正统的人，正统的事物
007648,19-007648-00-1,9,n.,,-,内省；反省
007473,19-007473-00-1,9,adj.,-,-,不锈的，防锈的；无污点的；（人，名声）纯洁的，无瑕的
007473,19-007473-00-2,9,n.,,-,不锈钢
007825,19-007825-00-1,9,adj.,-,-,脊髓的，脊柱的；（与）中心（有关）的，骨干的；针的，尖刺的
007825,19-007825-00-2,9,n.,,-,脊椎麻醉
001342,19-001342-00-1,9,n.,cruises,-,巡游，乘船游览
001342,19-001342-00-2,9,v.,cruises-cruising-cruised-cruised,-,乘船游览；以平稳的速度行驶；缓慢巡行，兜风；轻而易举赢得，轻取；<非正式>猎艳
001342,19-001342-00-3,9,-,-,-,【名】 （Cruise）（英、美、加）克鲁斯（人名）
000076,19-000076-00-1,9,adj.,-,-,可到达的，可进入的；易得到的，可使用的；可以理解的，易懂的；平易近人的，随和的；易受影响的
007969,19-007969-00-1,9,n.,spools,-,卷轴，线轴；绕线轮，缠线框
007969,19-007969-00-2,9,v.,spools-spooling-spooled-spooled,-,缠绕，卷在线轴上；被放出；假脱机；发动起来；把……输入中间存储
003673,19-003673-00-1,9,v.,mounts-mounting-mounted-mounted,-,组织，开展；爬上，登上；骑上；增多，增加，上升；增强，加剧；镶嵌，裱贴，安置；上演，展出；爬上（雌性动物的背）进行交配；设置（岗哨），担任（警卫）；把（观察对象）固定于显微镜的载玻片
003673,19-003673-00-2,9,n.,mounts,-,山，山峰；坐骑，马；登，骑；（相片）框，（艺术品）装帧，衬托纸；底座，底架；（贴邮票用的）透明胶纸；（显微镜观察的）封片；掌丘
003673,19-003673-00-3,9,-,-,-,【名】 （Mount）（英）芒特（人名）
007351,19-007351-00-1,9,adj.,-,-,柔韧的；柔软的；圆滑的；易曲折的
002690,19-002690-00-1,9,n.,heritages,-,遗产，传统，世袭财产；<美>（植物种类）纯种的，老品种的；<古>特殊（或个人）的所有物，（该有的）一份；<古>上帝选择的人（以色列人或基督教教会）
002690,19-002690-00-2,9,-,-,-,【名】 （Heritage）（英）赫里蒂奇（人名）
007977,19-007977-00-1,9,n.,cylinders,-,圆柱体，圆筒；汽缸；高压钢瓶；印刷机滚筒；（枪的）旋转弹膛；筒形石印；柱面
007470,19-007470-00-1,9,n.,lateralities,-,对一侧面的偏重
007939,19-007939-00-1,9,v.,probes-probing-probed-probed,-,调查，打探，探究；（用手指、细长工具等）探查，查看；搜寻，探索；侦察，侦探（敌情）
007939,19-007939-00-2,9,n.,probes,-,探究，详尽调查；（医生和科学家用的）探针； 航天探测器，太空探测器（=space probe）；探测仪，传感器，取样器
007939,19-007939-00-3,9,-,-,-,【名】 （Probe）（法）普罗布（人名）
001902,19-001902-00-1,9,n.,emphases,-,重要性，重点强调；重读，强调；（表达的）强有力
002821,19-002821-00-1,9,adj.,-,-,完全相同的；同一的；（双胞胎）同卵的；恒等的
007787,19-007787-00-1,9,adj.,-,-,伪造的，假冒的；<古>假装的，虚假的
007787,19-007787-00-2,9,v.,counterfeits-counterfeiting-counterfeited-counterfeited,-,伪造，仿造；佯作，假装；酷似
007787,19-007787-00-3,9,n.,counterfeits,-,伪造物，赝品
007465,19-007465-00-1,9,adv.,-,-,零星地；偶发地
008295,19-008295-00-1,9,adj.,thriftier-thriftiest,-,节俭的，节约的；<古>（牲畜，植物）茁壮的，健康的
007310,19-007310-00-1,9,n.,,-,有氧运动法；增氧健身法
007776,19-007776-00-1,9,n.,extravagances,-,挥霍，浪费；奢侈品；奢华，富丽堂皇；过分，过度
002550,19-002550-00-1,9,v.,-,-,抓牢，握紧；理解，领会；抓住（机会）
002550,19-002550-00-2,9,n.,,-,紧抓，紧握；理解（力），领会；能力所及，伸手可及的距离；控制，权力
007757,19-007757-00-1,9,adv.,-,-,迄今，至今
004002,19-004002-00-1,9,n.,overdrafts,-,[金融] 透支；[金融] 透支额
004002,19-004002-00-2,9,vt.,-,-,[金融] 透支
001058,19-001058-00-1,9,n.,,-,委员会；<英>受托人，监护人；<美>精神病者监护人
004576,19-004576-00-1,9,adj.,more radical-most radical,-,根本的，彻底的；激进的，极端的；全新的，不同凡响的；（增减）急剧的，大幅度的；（人，物）原本的，与生俱来的；<美，非正式>顶呱呱的；（外科，医疗）根治的；<英，史>（19世纪）自由党激进派的；（数）根式的，根号的；词根的；（植）根生的
004576,19-004576-00-2,9,n.,radicals,-,激进分子； 游离基，自由基；词根；（汉字）偏旁，部首；（数）根式；根号
007403,19-007403-00-1,9,adj.,-,-,受期待的，让人期盼的
007403,19-007403-00-2,9,v.,-,-,预期，预料；期待，盼望；先于…做，抢先…做（anticipate 的过去式和过去分词）
005831,19-005831-00-1,9,n.,tenants,-,房客，租户；<法律>业主
005831,19-005831-00-2,9,v.,tenants-tenanting-tenanted-tenanted,-,（作为租赁者）居住，工作
005831,19-005831-00-3,9,-,-,-,【名】 （Tenant）特南（人名）
007032,19-007032-00-1,9,n.,irises或irides,-,虹膜；虹彩光圈，可变光圈（=iris diaphragm）；鸢尾，鸢尾属植物
007032,19-007032-00-2,9,adj.,-,-,鸢尾属植物的
007032,19-007032-00-3,9,v.,irises-irising-irised-irised,-,（镜头光圈）运用虹彩光圈渐显（或渐隐）
004905,19-004905-00-1,9,n.,rivals,-,竞争对手，敌手；可与之匹敌者，可与之相比的人（或物）
004905,19-004905-00-2,9,v.,rivals-rivalling或rivaling-rivalled或rivaled-rivalled或rivaled,-,与......相匹敌，比得上
004905,19-004905-00-3,9,adj.,-,-,竞争的，对抗的
004905,19-004905-00-4,9,-,-,-,【名】 （Rival）（俄）里瓦尔（人名）
006430,19-006430-00-1,9,adj.,-,-,（身体或精神）脆弱的，易受伤的；（事物、人或地方）易受攻击的，易受伤害的；易患病的；（桥牌）有局方的，有身价的
003684,19-003684-00-1,9,v.,muddles-muddling-muddled-muddled,-,把……弄乱，把……混在一起；混淆，分不清；使困惑；懵懵懂懂地白忙；<美>调制（饮料），调（酒）；使糊涂，使迷惑
003684,19-003684-00-2,9,n.,muddles,-,糊涂，茫然；（局面）一团糟，混乱；乱七八糟
000729,19-000729-00-1,9,n.,burglaries,-,入室盗窃，入室盗窃罪
007982,19-007982-00-1,9,n.,beehives,-,蜂窝；蜂箱
007736,19-007736-00-1,9,n.,granites,-,花岗岩；坚毅；冷酷无情
005677,19-005677-00-1,9,adj.,more superficial-most superficial,-,粗浅的，粗略的；（思想）浅薄的，缺乏深度的；表面的，乍看起来的（尤指实际并非如此）；（伤势或伤害）表皮的；（皮肤、土壤或岩石）表层的；不重要的，无关痛痒的；<英>（建筑）面积的，平方的
007900,19-007900-00-1,9,n.,,-,异常；异常行为
007118,19-007118-00-1,9,adj.,-,-,本土的，固有的
001106,19-001106-00-1,9,adj.,-,-,必须做的，义务的，强制的
001106,19-001106-00-2,9,n.,,-,（花样滑冰、竞技体操等的）规定动作
001871,19-001871-00-1,9,adj.,-,-,（人）高雅的，举止优雅的；精美的，雅致的；简练的，巧妙的
007281,19-007281-00-1,9,adj.,-,-,未毁坏的，未损坏的
001103,19-001103-00-1,9,v.,comprises-comprising-comprised-comprised,-,包括，包含；构成，组成
006046,19-006046-00-1,9,n.,,-,交易，买卖，业务；（学术团体会议的）议事录，公报；（人与人之间的）交流，相互影响；事务（元），事项
007693,19-007693-00-1,9,vt.,-,-,斩首；解雇；使无效
007336,19-007336-00-1,9,v.,duplicates-duplicating-duplicated-duplicated,-,复制，复印；（无必要地）重复（某事）；使成倍增加
007336,19-007336-00-2,9,adj.,-,-,完全一样的，复制的；二重的
007336,19-007336-00-3,9,n.,duplicates,-,完全一样的东西，复制品
007682,19-007682-00-1,9,v.,intrigues-intriguing-intrigued-intrigued,-,激起……的兴趣，引发……的好奇心；密谋
007682,19-007682-00-2,9,n.,intrigues,-,密谋策划，阴谋；秘密的恋情，秘密关系；神秘力量，神秘气氛
007385,19-007385-00-1,9,n.,seams,-,（缝合两块布等的）线缝；煤层，矿层；（木板，墙纸等的）接缝；窄长的凹陷（或伤疤）；宝贵资源；一些，一点儿
007385,19-007385-00-2,9,vt.,-,-,缝合；使生皱纹
003297,19-003297-00-1,9,n.,legacies,-,遗产，遗赠物；遗留问题，后遗症
003297,19-003297-00-2,9,adj.,-,-,（软件或硬件）已过时但因使用范围广而难以替代的
000392,19-000392-00-1,9,n.,assurances,-,自信，把握；（人寿）保险；保证，确保
004608,19-004608-00-1,9,adj.,rawer-rawest,-,生的，未煮过的；天然的，未经加工的；（信息）未经处理的，原始的；（感情，品质）强烈的，不掩饰的；（皮肤）刺痛的；（人）生疏无知的，未经训练的；（天气）阴冷的；（音乐、艺术、语言等）质朴的，未经琢磨的；<美，非正式>（语言）粗俗的；（布料边缘）无褶边的；（文字）不加掩饰的，如实坦陈的；<南非>（非洲黑人）源自传统部落（或乡村）文化的；强大的，真实的；（污水）未经处理的
004608,19-004608-00-2,9,n.,,-,擦伤处
004608,19-004608-00-3,9,-,-,-,【名】 （Raw）（英）罗（人名）
003361,19-003361-00-1,9,n.,,-,识字，读写能力；专业知识；精通文学
000946,19-000946-00-1,9,n.,circumstances,-,条件，情况，环境；境况，经济状况；详情，原委；命运，境遇
000946,19-000946-00-2,9,v.,circumstances-circumstancing-circumstanced-circumstanced,-,处于某种情况
007476,19-007476-00-1,9,v.,shatters-shattering-shattered-shattered,-,（使）破碎，碎裂；破坏，摧毁（抽象物）；使极为惊愕难过，给予极大打击
007476,19-007476-00-2,9,n.,shatters,-,碎片；受到极大打击的状态
007323,19-007323-00-1,9,n.,entrepreneurs,-,企业家，创业者；主办者，提倡者
000326,19-000326-00-1,9,n.,appointments,-,约会，约定；任命，委派；职务，职位；家具，陈设
007509,19-007509-00-1,9,n.,charters,-,宪章，章程；特许状，许可证；不完善，漏洞；包租，租赁
007509,19-007509-00-2,9,v.,charters-chartering-chartered-chartered,-,包租，租用；特许成立，给予……特权
007509,19-007509-00-3,9,adj.,-,-,（临时）租用的
007509,19-007509-00-4,9,-,-,-,【名】 （Charter）（英、美）查特（人名）
005072,19-005072-00-1,9,adj.,-,-,（人）惯于久坐不动的；（工作、活动等）需要久坐的；定居的，不迁徙的；（动物）静止的，固定附着的
007512,19-007512-00-1,9,adj.,plusher-plushest,-,豪华的；长毛绒做的；舒服的
007512,19-007512-00-2,9,n.,,-,长毛绒
008215,19-008215-00-1,9,v.,smears-smearing-smeared-smeared,-,涂抹，涂上；诽谤，诋毁；弄脏，弄污；蹭花，变模糊
008215,19-008215-00-2,9,n.,smears,-,污点，污渍；诽谤，诋毁；子宫颈抹片检查；（显微镜）涂片；（登山）不稳立足处
007075,19-007075-00-1,9,n.,glosses,-,光彩；用以产生光泽的物质；光泽涂料；假象；注释
007075,19-007075-00-2,9,v.,glosses-glossing-glossed-glossed,-,注释；（古）曲解；掩盖；使光彩
007075,19-007075-00-3,9,n.,glosses,-,（Gloss）（美、俄、英）格洛斯（人名）
005345,19-005345-00-1,9,v.,soaks-soaking-soaked-soaked,-,浸泡；使湿透，浸湿；（液体）渗入，渗透；（在浴缸里）长时间泡浴；<非正式>向……敲竹杠（征重税）；吸收，吸入；沉浸在（学习中）
005345,19-005345-00-2,9,n.,soaks,-,浸泡，浸透；（长时间的）泡浴，洗澡；<非正式>酒鬼；<澳新>积水洼地，水洼；<英，非正式>大雨
008156,19-008156-00-1,9,adj.,-,-,新古典主义的
008028,19-008028-00-1,9,adj.,-,-,深奥的；隐藏的
006113,19-006113-00-1,9,n.,tunes,-,曲调，曲子；歌曲，乐段
006113,19-006113-00-2,9,v.,tunes-tuning-tuned-tuned,-,（给乐器）调音，校音；（给收音机、电视等）调谐，调频道；调整，调节（发动机）；调整，使适合；<南非，非正式>告诉
006113,19-006113-00-3,9,-,-,-,【名】 （Tune）图恩（人名）
001549,19-001549-00-1,9,v.,deteriorates-deteriorating-deteriorated-deteriorated,-,恶化，变坏
007725,19-007725-00-1,9,v.,rehabilitates-rehabilitating-rehabilitated-rehabilitated,-,（监禁、戒毒或病后通过培训和治疗）使恢复正常生活；恢复……的权利，恢复……的名誉；使（建筑物或地区）恢复原状，修复
000292,19-000292-00-1,9,v.,anticipates-anticipating-anticipated-anticipated,-,预期，预料；预见（并做准备）；期望，盼望；先于……做，早于……行动；提前使用；在期限内履行（义务），偿还（债务）
002036,19-002036-00-1,9,adj.,-,-,过度的，过多的
002546,19-002546-00-1,9,v.,-,-,授予，给予；承认
002546,19-002546-00-2,9,n.,,-,补助金，拨款；（政府给予的）土地；<正式>给予，授予；合法转让
002546,19-002546-00-3,9,-,-,-,【名】 （Grant）（美）格朗（人名）
002017,19-002017-00-1,9,n.,evolutions,-,进化（论）；演变，发展；（气体的）释放，（热量的）散发；队形变换，位置变换；<旧>开方
007658,19-007658-00-1,9,n.,,-,剥削，压榨；开发，开采；（出于私利、不公正的）利用
005527,19-005527-00-1,9,adv.,-,-,逐渐地，稳步地；不变地，稳定地；冷静地，镇定地；固定地，牢固地
007275,19-007275-00-1,9,v.,orients-orienting-oriented-oriented,-,朝向，面对，使适合；定向放置（某物）；确定方位，认识方向（orient oneself）；引导；使熟悉，帮助适应
007275,19-007275-00-2,9,n.,orients,-,<旧>东方，东亚诸国（the Orient）；（优质珍珠的）光泽；优质珍珠
007275,19-007275-00-3,9,adj.,-,-,<文>东方的，东方国家的；（尤指宝石）光彩夺目的；（太阳等）冉冉上升的，（白昼的光亮等）渐渐变强的
007275,19-007275-00-4,9,-,-,-,【名】 （Orient） （美）奥里安（人名）
007124,19-007124-00-1,9,vt.,-,-,使震惊；诽谤；使愤慨
005501,19-005501-00-1,9,adj.,staler或more stale-stalest或most stale,-,（食物）不新鲜的，变味的；气味不清新的，难闻的；没有新意的，老掉牙的；（因长期从事同一工作而）疲沓的，厌倦的；（支票，合法要求）（因过期而）失效的
005501,19-005501-00-2,9,v.,stales-staling-staled-staled,-,（使）不新鲜，（使）走味，（使）陈旧；（动物，尤指马）撒尿
005501,19-005501-00-3,9,n.,,-,尿
005501,19-005501-00-4,9,-,-,-,【名】 （Stale）斯塔莱（人名）
006182,19-006182-00-1,9,v.,undertakes-undertaking-undertook-undertaken,-,承担，从事；承诺，答应；<英>在内侧行驶时赶上并超越（另一辆车）
003102,19-003102-00-1,9,n.,invasions,-,侵略，入侵；涌入，大批进入；侵犯，干预；侵袭，扩散
007387,19-007387-00-1,9,n.,mites,-,小虫，螨；（可怜的）小孩儿，小动物；微粒，微小的东西；少量，极小量；小硬币
007387,19-007387-00-2,9,adv.,-,-,（非正式）一点儿，稍许
001324,19-001324-00-1,9,n.,criteria或criterions,-,尺度，标准，准则
002553,19-002553-00-1,9,n.,graves,-,坟墓，墓穴；死亡，终结；（废旧机器等的）堆积处；（法语等语言里的）抑音符号，沉音符
002553,19-002553-00-2,9,adj.,graver或more grave-gravest或most grave,-,严峻的，严重的；严肃的，庄重的；认真的，深切的；带钝重音符的；（用作演奏演唱指示）缓慢的，庄严的
002553,19-002553-00-3,9,adv.,-,-,（用作演奏演唱指示）缓慢地，庄严地
002553,19-002553-00-4,9,v.,graves-graving-graved-graven或graved,-,<文>铭记，铭刻；<古>刻（铭文，图像）；<史>（用烧掉附着物然后涂以沥青的方法）清理（船底），拷铲油漆（船底）
002553,19-002553-00-5,9,-,-,-,【名】 （Grave）（德、英）格拉维（人名）
008084,19-008084-00-1,9,v.,inhibits-inhibiting-inhibited-inhibited,-,抑制，约束；使拘束，使尴尬；降低（酶等）的活性；禁止（神职人员）司神职
007318,19-007318-00-1,9,n.,,-,居民，居住者
002861,19-002861-00-1,9,n.,,-,撞击，冲击力；巨大影响，强大作用
002861,19-002861-00-2,9,v.,-,-,冲击，撞击；挤入，压紧；（对……）产生影响
008005,19-008005-00-1,9,adj.,starker-starkest,-,荒凉的；严酷的；明显的，鲜明的；完全的，十足的；健壮的，结实的
008005,19-008005-00-2,9,adv.,-,-,完全地；彻底地
008005,19-008005-00-3,9,n.,,-,【名】（Stark）（俄、罗）斯塔尔克，（德）施塔克，（英、芬、法、瑞典）斯塔克（人名）
007288,19-007288-00-1,9,adj.,-,-,专业的，专门的
007288,19-007288-00-2,9,v.,-,-,专门研究（或从事），专攻；专营；（生）使（器官）专化，使特化（specialize 的过去式和过去分词）
002391,19-002391-00-1,9,n.,frontiers,-,边境，国界；(常sing.) 西部边疆，边远地区；（尤指知识的）前沿，新领域；西部边疆，边远地区
002391,19-002391-00-2,9,adj.,-,-,边境的，边疆的
002391,19-002391-00-3,9,-,-,-,【名】 （Frontier）（法）弗龙捷（人名）
005481,19-005481-00-1,9,n.,spurs,-,一时冲动之下，心血来潮；刺激，激励；山嘴，尖坡；（公路或铁路的）支线，岔线；马刺，靴刺
005481,19-005481-00-2,9,v.,spurs-spurring-spurred-spurred,-,激励，鼓励；促进，加速，刺激（某事发生）；用马刺策（马）前进；紧贴主干剪短（副梢）
005481,19-005481-00-3,9,-,-,-,【名】 （Spur） （美）斯普尔（人名）
004460,19-004460-00-1,9,v.,prompts-prompting-prompted-prompted,-,促使，导致；鼓励，提示（说话者）；（计算机上）提示；（给演员）提词，提白
004460,19-004460-00-2,9,n.,prompts,-,（给演员的）提词；（计算机屏幕上显示准备接受指令的）提示； 鼓励，催促；（付款通知单上的）付款期限
004460,19-004460-00-3,9,adj.,prompter或more prompt-promptest或most prompt,-,迅速的，立刻的；（人）利索的，敏捷的；及时的，准时的；（商品）即期要送的，即期要付的
004460,19-004460-00-4,9,adv.,-,-,准时地
001252,19-001252-00-1,9,adj.,-,-,公司的；法人的；共同的，全体的
001252,19-001252-00-2,9,n.,,-,公司，集团
008118,19-008118-00-1,9,adj.,-,-,熔化的；铸造的；炽热的
008118,19-008118-00-2,9,n.,,-,（Molten）莫尔滕（人名）
008110,19-008110-00-1,9,n.,condensations,-,冷凝，凝结；凝结的水珠；（书等的）简缩；凝聚反应，缩合反应；精神凝缩（作用）
006173,19-006173-00-1,9,adj.,-,-,根本的，潜在的；表面下的，下层的；优先的；（数量或水平）实际的
006173,19-006173-00-2,9,v.,-,-,位于…的下面；构成…的基础（underlie 的现在分词形式）
007040,19-007040-00-1,9,n.,evacuations,-,撤离，疏散；（粪便等的）排泄；排空，清除
007437,19-007437-00-1,9,vt.,-,-,使无能力；使不能；使不适于
002895,19-002895-00-1,9,adj.,more inaccurate-most inaccurate,-,不精确的，不准确的
007266,19-007266-00-1,9,n.,pesticides,-,杀虫剂，农药
007260,19-007260-00-1,9,adj.,-,-,富有洞察力的，有深刻见解的
008160,19-008160-00-1,9,adv.,-,-,无情地；残忍地；冷酷地
007586,19-007586-00-1,9,adj.,-,-,兴高采烈的，精神焕发的；喜气洋洋的，充满生气的；茂盛的，繁茂的；（在艺术风格上）充满活力和想像力的
007795,19-007795-00-1,9,adj.,-,-,一百年的
007795,19-007795-00-2,9,n.,,-,一百周年；一百周年纪念
005435,19-005435-00-1,9,n.,spectra或spectrums,-,范围，幅度；光谱；波谱，频谱；余象
008294,19-008294-00-1,9,n.,dupes,-,上当者；易受骗的人
008294,19-008294-00-2,9,vt.,-,-,欺骗；愚弄；重复，复制（等于 duplicate）
001033,19-001033-00-1,9,n.,columns,-,圆柱，纪念柱；柱状物；纵队，纵行（列）；（报纸、杂志上的）栏；（报纸或杂志的）专栏（文章）
007659,19-007659-00-1,9,vt.,-,-,替代，取代
002803,19-002803-00-1,9,adj.,-,-,卫生的，保健的；与卫生相关的
004228,19-004228-00-1,9,adj.,more plausible-most plausible,-,似乎是真的，貌似有理的；（人）花言巧语的，貌似可信的；可靠的，可重用的
007037,19-007037-00-1,9,n.,federations,-,联邦政府，联邦；联合会；结成联邦（或联盟）
007367,19-007367-00-1,9,n.,,-,委派；信赖；鉴定合格
003520,19-003520-00-1,9,adj.,-,-,机械（方面）的；机械般的，呆板的；精通机械的；机械学的，力学的；独家灌录权的
003520,19-003520-00-2,9,n.,,-,技工，机修工；劳工，工匠
008033,19-008033-00-1,9,v.,acquaints-acquainting-acquainted-acquainted,-,使熟悉，使了解
002688,19-002688-00-1,9,n.,herbs,-,药草，香草；草本植物
002688,19-002688-00-2,9,-,-,-,【名】 （Herb）（德、英、瑞典）赫布（人名）
001322,19-001322-00-1,9,n.,crises,-,危机，紧要关头；决定性时刻，关键时刻；（病情的）转折点，危象
001322,19-001322-00-2,9,adj.,-,-,用于处理危机的
001073,19-001073-00-1,9,n.,comparisons,-,比较，对照；相提并论，相比；比喻，比拟；（副词或形容词的）比较（变化）
003949,19-003949-00-1,9,n.,orchestras,-,（大型的）管弦乐队；乐池（=orchestra pit）；<美>（剧院中）靠近舞台的座位；古希腊剧场舞台前部半圆形的表演区（供合唱队表演歌舞）
007245,19-007245-00-1,9,n.,stereos,-,立体声，立体声效果；立体声音响设备（器材）；（摄影）立体视镜；（印刷）铅版（stereotype 的简称）
007245,19-007245-00-2,9,adj.,-,-,立体声的（stereophonic 的简称）；立体的，体视镜的，有立体感觉的（stereoscopic 的简称）
002050,19-002050-00-1,9,adj.,-,-,行政的，有执行权的；高档的，豪华的；供主管人员使用的；（有关）经营管理的，领导的
002050,19-002050-00-2,9,n.,executives,-,主管，经理；行政部门，执行委员会
001460,19-001460-00-1,9,n.,defects,-,缺点，缺陷，毛病
001460,19-001460-00-2,9,v.,defects-defecting-defected-defected,-,背叛，叛变
007319,19-007319-00-1,9,n.,aquariums或aquaria,-,水族箱，养鱼缸；水族馆
007593,19-007593-00-1,9,adj.,-,-,整体的，全面的；功能整体性的
007779,19-007779-00-1,9,n.,infirmities,-,（尤指老年的）体弱，病弱；（长期的）疾病，病症；缺点
007447,19-007447-00-1,9,n.,,-,魅力；魔法；迷人的美（等于 glamour）
007447,19-007447-00-2,9,vt.,-,-,迷惑；使有魅力（等于 glamour）
005951,19-005951-00-1,9,v.,tightens-tightening-tightened-tightened,-,（使）变紧，（使）紧固；旋紧，拧紧；抓紧，攥紧；（由于生气而）（嘴巴）撅起，（双唇）紧闭；（使）（肌肉或身体某部位）变得僵硬，绷紧；使（规定、政策、制度）更加严格，使更加有效；（对……）严加控制，（使）加强控制；<美>（比赛）变得激烈（紧张）
007525,19-007525-00-1,9,adj.,-,-,从属的，下级的；次要的
007525,19-007525-00-2,9,n.,subordinates,-,部属，下级；从属，次要
007525,19-007525-00-3,9,v.,subordinates-subordinating-subordinated-subordinated,-,使从属于，使处于次要地位；使隶属，使服从
002204,19-002204-00-1,9,adj.,more fertile-most fertile,-,肥沃的，富饶的；可繁殖的，能结果的；能产生好结果的，促进的；点子多的，想象力丰富的；（核材料）能产生裂变物质的，增殖性的
001477,19-001477-00-1,9,n.,delegates,-,代表；委员会成员
001477,19-001477-00-2,9,v.,delegates-delegating-delegated-delegated,-,授权，把……委托给；选派（某人做某事）
001080,19-001080-00-1,9,adj.,more competitive-most competitive,-,竞争的；好竞争的，好胜的；有竞争力的
007563,19-007563-00-1,9,adj.,diviner或more divine-divinest或most divine,-,神的，天赐的；绝妙的，极令人愉快的
007563,19-007563-00-2,9,v.,divines-divining-divined-divined,-,（凭直觉）猜测，推测；占卜，预测；（通过探矿术）发现（水源）
007563,19-007563-00-3,9,n.,divines,-,<旧>牧师，神学家；天意，上帝（the Divine）
007563,19-007563-00-4,9,-,-,-,【名】 （Divine）（英）迪万（人名）
007954,19-007954-00-1,9,v.,obstructs-obstructing-obstructed-obstructed,-,堵塞，阻塞（洞口、通道、道路等）；遮住，挡住（视线）；阻碍，妨碍
000849,19-000849-00-1,9,n.,celebrities,-,名声，名望；名人，明星
007443,19-007443-00-1,9,n.,bistros,-,小酒馆
007443,19-007443-00-2,9,n.,bistros,-,（Bistro）人名；（法）比斯特罗
007456,19-007456-00-1,9,adj.,-,-,休耕的；不活跃的
007456,19-007456-00-2,9,n.,,-,休耕地；休耕
007456,19-007456-00-3,9,vt.,-,-,使（土地）休闲；潜伏
007456,19-007456-00-4,9,n.,,-,（Fallow）人名；（英）法洛
004790,19-004790-00-1,9,adj.,more representative-most representative,-,典型的，有代表性的；代表各类人（或事物）的；由代表组成的，代议制的；表现的，体现的；（艺术）具象派的；（哲） （与）表象（有关）的
